//HSK 2012-2017/Level 1
年轻[年輕]	nian2qing1
鸟[鳥]	niao3
努力[努力]	nu3li4
爬山[爬山]	pa2shan1
盘子[盤子]	pan2zi5
胖[胖]	pang4
皮鞋[皮鞋]	pi2xie2
啤酒[啤酒]	pi2jiu3
瓶子[瓶子]	ping2zi5
其实[其實]	qi2shi2
其他[其他]	qi2ta1
奇怪[奇怪]	qi2guai4
骑[騎]	qi2
起飞[起飛]	qi3fei1
起来[起來]	qi3lai2
清楚[清楚]	qing1chu5
请假[請假]	qing3jia4
秋[秋]	qiu1
裙子[裙子]	qun2zi5
然后[然後]	ran2hou4
热情[熱情]	re4qing2
认为[認為]	ren4wei2
认真[認真]	ren4zhen1
容易[容易]	rong2yi4
如果[如果]	ru2guo3
伞[傘]	san3
上网[上網]	shang4wang3
生气[生氣]	sheng1qi4
声音[聲音]	sheng1yin1
世界[世界]	shi4jie4
试[試]	shi4
瘦[瘦]	shou4
叔叔[叔叔]	shu1shu5
舒服[舒服]	shu1fu5
树[樹]	shu4
数学[數學]	shu4xue2
刷牙[刷牙]	shua1ya2
双[雙]	shuang1
水平[水平]	shui3ping2
司机[司機]	si1ji1
太阳[太陽]	tai4yang2
特别[特別]	te4bie2
疼[疼]	teng2
提高[提高]	ti2gao1
体育[體育]	ti3yu4
甜[甜]	tian2
条[條]	tiao2
同事[同事]	tong2shi4
同意[同意]	tong2yi4
头发[頭髮]	tou2fa5
突然[突然]	tu1ran2
图书馆[圖書館]	tu2shu1guan3
腿[腿]	tui3
完成[完成]	wan2cheng2
碗[碗]	wan3
万[萬]	wan4
忘记[忘記]	wang4ji4
为[為]	wei4
为了[為了]	wei4le5
位[位]	wei4
文化[文化]	wen2hua4
西[西]	xi1
习惯[習慣]	xi2guan4
洗手间[洗手間]	xi3shou3jian1
洗澡[洗澡]	xi3zao3
夏[夏]	xia4
先[先]	xian1
相信[相信]	xiang1xin4
香蕉[香蕉]	xiang1jiao1
向[嚮]	xiang4
像[像]	xiang4
小心[小心]	xiao3xin1
校长[校長]	xiao4zhang3
新闻[新聞]	xin1wen2
新鲜[新鮮]	xin1xian1
信用卡[信用卡]	xin4yong4ka3
行李箱[行李箱]	xing2li3xiang1
熊猫[熊貓]	xiong2mao1
需要[需要]	xu1yao4
选择[選擇]	xuan3ze2
要求[要求]	yao1qiu2
爷爷[爺爺]	ye2ye5
一般[一般]	yi1ban1
一边[一邊]	yi1bian1
一定[一定]	yi1ding4
一共[一共]	yi1gong4
一会儿[一會兒]	yi1hui4r5
一样[一樣]	yi1yang4
一直[一直]	yi1zhi2
以前[以前]	yi3qian2
音乐[音樂]	yin1yue4
银行[銀行]	yin2hang2
饮料[飲料]	yin3liao4
应该[應該]	ying1gai1
影响[影響]	ying3xiang3
用[用]	yong4
游戏[遊戲]	you2xi4
有名[有名]	you3ming2
又[又]	you4
遇到[遇到]	yu4dao4
元[元]	yuan2
愿意[願意]	yuan4yi4
月亮[月亮]	yue4liang5
越[越]	yue4
站[站]	zhan4
张[張]	zhang1
长[長]	zhang3
着急[著急]	zhao2ji2
照顾[照顧]	zhao4gu5
照片[照片]	zhao4pian4
照相机[照相機]	zhao4xiang4ji1
只[隻]	zhi1
只[只]	zhi3
只有…才…	zhi3you3...cai2...	only if... then...
中间[中間]	zhong1jian1
中文[中文]	Zhong1wen2
终于[終於]	zhong1yu2
种[種]	zhong3
重要[重要]	zhong4yao4
周末[週末]	zhou1mo4
